SSN,birthdate,last name,first name,address,city,state,zip,phone,email,cc_type,CCN,cc_cvc,cc_expiredate
172-32-1176,4/21/1958,White,Johnson,10932 Bigge Rd,Menlo Park,CA,94025,408 496-7223,jwhite@inventechcorp.com,m,5270-4267-6450-5516,123,25/06/2010
514-14-8905,12/22/1944,Borden,Ashley,4469 Sherman Street,Goff,KS,66428,785-939-6046,aborden@gmail.com,m,5370-4638-8881-3020,713,01/02/2011
213-46-8915,4/21/1958,Green,Marjorie,309 63rd St. #411,Oakland,CA,94618,415 986-7020,mgreen@ecosolutions.io,v,4916-9766-5240-6147,258,25/02/2009
524-02-7657,3/25/1962,Munsch,Jerome,2183 Roy Alley,Centennial,CO,80112,303-901-6123,jmunsch@yahoo.com,m,5180-3807-3679-8221,612,01/03/2010
489-36-8350,06/09/1964,Aragon,Robert,3181 White Oak Drive,Kansas City,MO,66215,816-645-6936,raragon@securenet.net,v,4929-3813-3266-4295,911,01/12/2011
514-30-2668,27/05/1986,Russell,Jacki,3097 Better Street,Kansas City,MO,66215,913-227-6106,jrussell@hotmail.com,a,3.4539E+14,232,01/01/2010
505-88-5714,23/09/1963,Venson,Lillian,539 Kyle Street,Wood River,NE,68883,308-583-8759,lvenson@blueoceanind.com,d,3.02049E+13,471,01/12/2011
690-05-5315,02/10/1969,Conley,Thomas,570 Nancy Street,Morrisville,NC,27560,919-656-6779,tconley@outlook.com,v,4916 4811 5814 8111,731,01/10/2010
646-44-9061,12/01/1978,Jackson,Charles,1074 Small Street,New York,NY,10011,212-847-4915,cjackson@protechtive.com,m,5218 0144 2703 9266,892,01/11/2011
421-37-1396,09/04/1980,Davis,Susan,4222 Bedford Street,Jasper,AL,35501,205-221-9156,sdavis@aol.com,v,4916 4034 9269 8783,33,01/04/2011
461-97-5660,04/01/1975,Watson,Gail,3414 Gore Street,Houston,TX,77002,713-547-3414,gwatson@innovative-edge.io,v,4532 1753 6071 1112,694,01/09/2011
660-03-8360,11/07/1953,Garrison,Lisa,515 Hillside Drive,Lake Charles,LA,70629,337-965-2982,lgarrison@gmail.com,v,4539 5385 7425 5825,680,01/06/2011
751-01-2327,16/02/1968,Renfro,Julie,4032 Arron Smith Drive,Kaunakakai,HI,96748,808-560-1638,jrenfro@globaltechgroup.com,m,5325 3256 9519 6624,238,01/03/2009
559-81-1301,20/01/1952,Heard,James,2865 Driftwood Road,San Jose,CA,95129,408-370-0031,jheard@yahoo.com,v,4532 4220 6922 9909,311,01/09/2010
624-84-9181,16/01/1980,Reyes,Danny,3500 Diane Street,San Luis Obispo,CA,93401,805-369-0464,dreyes@advantagelogistics.net,v,4532 0065 1968 5602,713,01/11/2009
449-48-3135,14/06/1982,Hall,Mark,4986 Chapel Street,Houston,TX,77077,281-597-5517,mhall@hotmail.com,v,4556 0072 1294 7415,953,01/05/2010
477-36-0282,10/03/1961,Mceachern,Monte,456 Oral Lake Road,Minneapolis,MN,55401,952-412-3707,mmceachern@brightfuturecorp.com,m,5527 1247 5046 7780,889,01/03/2009
458-02-6124,20/09/1955,Diaz,Christopher,582 Thrash Trail,Dallas,TX,75247,903-624-9156,cdiaz@gmail.com,m,5299 1561 5689 1938,584,01/08/2011
044-34-6954,28/05/1967,Lowe,Tim,1620 Maxwell Street,East Hartford,CT,6108,860-755-0293,tlowe@synthetixindustries.com,m,5144 8691 2776 1108,616,01/10/2011
587-03-2682,24/10/1958,Oyola,Lynette,2489 O Conner Street,Pascagoula,MS,39567,228-938-2056,loyola@outlook.com,v,4532 9929 3036 9308,991,01/07/2011
421-90-3440,17/07/1953,Morrison,Adriane,4696 Retreat Avenue,Birmingham,AL,35209,205-276-1807,amorrison@nutrivitalityhealth.com,v,4539 0031 3703 0728,322,01/12/2009
451-80-3526,09/06/1950,Santos,Thomas,173 Lunetta Street,Fort Worth,TX,76104,940-859-1393,tsantos@gmail.com,v,4716 6984 4983 6160,767,01/09/2011
300-62-3266,10/02/1965,Faulkner,Victor,1843 Olive Street,Toledo,OH,43602,419-340-3832,vfaulkner@emergingtechsolutions.io,m,5548 0246 6336 5664,276,01/02/2010
